;movie_code;duration;facenumber_in_poster;country;budget;gross;num_voted_users;num_user_for_reviews;num_critic_for_reviews;movie_facebook_likes;director_facebook_likes;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;cast_total_facebook_likes;imdb_score;imdb_score_class
4429;4430;90.0;7.0;USA;1500000.0;92362.0;444;5.0;14.0;68;7.0;890.0;597.0;424.0;3138;4.3;Fair
3966;3967;141.0;2.0;USA;100000000.0;;67;1.0;1.0;0;335.0;11000.0;744.0;635.0;13391;6.0;Fair
4018;4019;86.0;1.0;Canada;3500000.0;;1285;10.0;17.0;721;892.0;603.0;145.0;50.0;854;3.3;Bad
4321;4322;83.0;0.0;USA;2000000.0;;9280;64.0;25.0;0;0.0;413.0;167.0;107.0;1149;5.5;Fair
455;456;99.0;0.0;USA;80000000.0;109993847.0;72326;116.0;144.0;0;163.0;11000.0;869.0;495.0;12831;6.1;Good
2820;2821;97.0;1.0;USA;12000000.0;56631572.0;123390;248.0;88.0;0;143.0;927.0;281.0;201.0;1724;6.8;Good
563;564;128.0;4.0;USA;82000000.0;36381716.0;197584;918.0;435.0;42000;0.0;4000.0;2000.0;826.0;7067;6.1;Good
3261;3262;117.0;0.0;UK;9500000.0;43100000.0;75280;267.0;130.0;0;43.0;742.0;462.0;244.0;2127;6.9;Good
4756;4757;91.0;2.0;USA;500000.0;12055.0;739;10.0;28.0;339;0.0;472.0;185.0;170.0;1047;6.5;Good
1494;1495;83.0;5.0;USA;35000000.0;11631245.0;15015;113.0;63.0;494;12.0;2000.0;826.0;690.0;5022;4.2;Fair
1404;1405;88.0;0.0;USA;35000000.0;112692062.0;84325;205.0;122.0;0;0.0;2000.0;843.0;640.0;4499;5.4;Fair
616;617;136.0;7.0;USA;75000000.0;38509342.0;61995;356.0;360.0;33000;163.0;394.0;217.0;66.0;712;5.9;Fair
1214;1215;105.0;2.0;USA;40000000.0;71347010.0;166194;215.0;215.0;0;29.0;24000.0;4000.0;257.0;28928;7.1;Good
2316;2317;114.0;0.0;Canada;20000000.0;;6904;102.0;25.0;971;329.0;1000.0;912.0;544.0;3493;6.5;Good
2966;2967;113.0;1.0;USA;;12796277.0;41226;281.0;232.0;0;438.0;11000.0;536.0;471.0;12274;6.7;Good
3869;3870;130.0;1.0;India;4400000.0;;30977;178.0;39.0;10000;6.0;85.0;26.0;12.0;151;8.5;Excellent
1965;1966;132.0;2.0;UK;30000000.0;1865774.0;87682;174.0;260.0;43000;241.0;27000.0;154.0;151.0;27659;7.0;Good
4289;4290;104.0;1.0;USA;;977600.0;8204;98.0;200.0;0;129.0;991.0;962.0;887.0;3427;6.5;Good
2973;2974;119.0;3.0;China;100000000.0;11041228.0;92295;420.0;248.0;0;611.0;755.0;483.0;4.0;1244;7.6;Good
308;309;121.0;4.0;USA;100000000.0;184031112.0;190786;539.0;144.0;0;541.0;920.0;710.0;680.0;2880;5.4;Fair
3718;3719;110.0;0.0;UK;5000000.0;21994911.0;98354;433.0;151.0;0;335.0;838.0;203.0;34.0;1122;7.7;Good
2821;2822;107.0;2.0;USA;13500000.0;15854988.0;36542;378.0;181.0;0;162.0;2000.0;258.0;135.0;2447;7.4;Good
4671;4672;90.0;0.0;USA;780000.0;1310270.0;17725;157.0;33.0;1000;38.0;214.0;115.0;69.0;587;6.8;Good
3314;3315;97.0;3.0;USA;9000000.0;883887.0;1201;14.0;26.0;0;3.0;679.0;537.0;204.0;1426;6.2;Good
4506;4507;76.0;6.0;USA;;;9560;35.0;14.0;636;0.0;387.0;295.0;227.0;1190;3.8;Bad
1309;1310;108.0;0.0;Germany;33000000.0;10326062.0;121432;310.0;219.0;10000;22.0;12000.0;2000.0;61.0;14127;6.8;Good
4729;4730;89.0;0.0;USA;500000.0;5739376.0;58260;286.0;154.0;0;310.0;22000.0;833.0;587.0;24419;7.7;Good
4194;4195;89.0;3.0;USA;2500000.0;3325638.0;52509;84.0;252.0;13000;14.0;902.0;291.0;215.0;1980;7.1;Good
2886;2887;115.0;4.0;UK;20000000.0;403932.0;5254;92.0;71.0;141;187.0;14000.0;900.0;887.0;17104;6.5;Good
3073;3074;118.0;2.0;Australia;15000000.0;399879.0;5772;115.0;75.0;302;10.0;172.0;71.0;48.0;378;6.4;Good
3578;3579;55.0;5.0;Italy;;;9638;25.0;10.0;0;;18.0;9.0;5.0;39;8.7;Excellent
2296;2297;91.0;3.0;USA;20000000.0;8104069.0;9785;26.0;53.0;233;10.0;716.0;537.0;436.0;2700;4.5;Fair
1441;1442;104.0;0.0;USA;35000000.0;37481242.0;40654;97.0;148.0;0;16.0;1000.0;700.0;584.0;3356;5.3;Fair
3938;3939;99.0;3.0;UK;3000000.0;302204.0;6705;53.0;43.0;167;13.0;419.0;254.0;159.0;975;6.6;Good
4540;4541;90.0;0.0;USA;1000000.0;10042266.0;23021;220.0;137.0;816;65.0;1000.0;989.0;683.0;3155;5.9;Fair
2986;2987;109.0;5.0;UK;12000000.0;2326407.0;5016;99.0;61.0;305;40.0;5000.0;1000.0;794.0;7166;7.0;Good
3499;3500;99.0;2.0;USA;7000000.0;9166863.0;83182;247.0;281.0;16000;192.0;14000.0;343.0;292.0;14816;7.6;Good
2807;2808;139.0;1.0;France;14000000.0;2474000.0;2427;27.0;20.0;127;133.0;423.0;15.0;5.0;446;5.7;Fair
994;995;117.0;1.0;USA;40000000.0;32800000.0;34896;118.0;51.0;877;31.0;2000.0;472.0;210.0;3016;4.3;Fair
4856;4857;96.0;0.0;USA;250000.0;1050600.0;4662;136.0;59.0;170;44.0;625.0;487.0;129.0;1378;6.6;Good
4086;4087;197.0;0.0;Australia;15000000.0;;299;1.0;;367;;578.0;476.0;110.0;1400;7.4;Good
3078;3079;161.0;0.0;UK;12000000.0;56715371.0;427357;1736.0;285.0;24000;0.0;273.0;117.0;73.0;727;8.3;Excellent
4207;4208;96.0;0.0;USA;2500000.0;322157.0;61787;203.0;238.0;19000;571.0;2000.0;973.0;370.0;4590;6.8;Good
4928;4929;109.0;3.0;USA;200000.0;;8;;;65;0.0;270.0;54.0;26.0;364;7.0;Good
3376;3377;107.0;0.0;USA;8000000.0;18090181.0;38191;271.0;109.0;0;0.0;969.0;449.0;112.0;1775;6.4;Good
4826;4827;102.0;1.0;USA;312000.0;1281176.0;2932;73.0;64.0;121;149.0;409.0;277.0;276.0;1986;6.7;Good
1508;1509;93.0;2.0;France;32000000.0;;28848;76.0;58.0;0;18.0;4000.0;820.0;324.0;5377;5.7;Fair
3330;3331;97.0;3.0;USA;;32222567.0;92924;339.0;147.0;19000;541.0;967.0;847.0;673.0;4458;7.2;Good
856;857;44.0;4.0;USA;1400000.0;;63982;181.0;77.0;0;;847.0;440.0;72.0;1359;8.4;Excellent
4600;4601;78.0;0.0;USA;1000000.0;10018.0;3228;31.0;71.0;244;0.0;262.0;163.0;61.0;509;6.1;Good
3396;3397;60.0;0.0;;;;22848;85.0;18.0;18000;;3000.0;788.0;648.0;6034;8.3;Excellent
1539;1540;97.0;1.0;USA;33000000.0;173381405.0;147597;395.0;152.0;21000;4000.0;22000.0;11000.0;8000.0;43354;6.9;Good
4638;4639;100.0;8.0;USA;930000.0;20186.0;6025;15.0;18.0;995;28.0;945.0;756.0;501.0;2924;5.7;Fair
793;794;173.0;3.0;USA;220000000.0;623279547.0;995415;1722.0;703.0;123000;0.0;26000.0;21000.0;19000.0;87697;8.1;Excellent
399;400;116.0;4.0;USA;85000000.0;183405771.0;402645;845.0;186.0;0;0.0;11000.0;1000.0;471.0;13028;7.8;Good
3560;3561;102.0;3.0;USA;6500000.0;16842303.0;59474;418.0;137.0;0;218.0;900.0;563.0;376.0;2475;7.3;Good
3297;3298;76.0;3.0;USA;;6126237.0;3419;41.0;32.0;419;17.0;591.0;579.0;571.0;2851;4.8;Fair
4787;4788;98.0;1.0;USA;225000.0;2938208.0;7143;52.0;71.0;865;89.0;88.0;74.0;3.0;173;7.5;Good
2939;2940;92.0;1.0;USA;12000000.0;31397498.0;44130;156.0;172.0;0;0.0;17000.0;527.0;451.0;18765;5.4;Fair
3612;3613;102.0;1.0;USA;6000000.0;11434867.0;59637;130.0;216.0;21000;49.0;24000.0;14000.0;10000.0;51355;7.1;Good
4466;4467;60.0;0.0;USA;5000000.0;;6381;79.0;8.0;963;;210.0;121.0;109.0;611;7.7;Good
43;44;118.0;0.0;USA;200000000.0;125320003.0;286095;974.0;422.0;0;368.0;23000.0;3000.0;988.0;27468;6.6;Good
3781;3782;91.0;0.0;USA;5000000.0;2221809.0;40618;144.0;248.0;0;263.0;967.0;289.0;192.0;1582;7.0;Good
1505;1506;148.0;0.0;USA;35000000.0;630779.0;11101;159.0;95.0;633;0.0;3.0;2.0;0.0;5;6.8;Good
2676;2677;140.0;3.0;USA;15000000.0;21383298.0;187170;376.0;417.0;47000;310.0;33000.0;748.0;619.0;34413;7.3;Good
3619;3620;90.0;2.0;USA;6000000.0;4542775.0;18313;73.0;76.0;985;138.0;373.0;308.0;263.0;1831;5.1;Fair
279;280;136.0;1.0;USA;126000000.0;35799026.0;263329;899.0;257.0;0;0.0;19000.0;12000.0;3000.0;34839;6.9;Good
4110;4111;123.0;0.0;UK;;373060.0;47385;112.0;248.0;0;121.0;13000.0;260.0;168.0;13636;7.3;Good
261;262;103.0;3.0;USA;110000000.0;142614158.0;66593;153.0;172.0;31000;67.0;383.0;113.0;111.0;692;5.5;Fair
2633;2634;104.0;1.0;USA;15000000.0;40064955.0;92074;502.0;154.0;0;0.0;4000.0;4000.0;1000.0;12170;6.4;Good
2889;2890;127.0;0.0;USA;13000000.0;301305.0;31414;180.0;110.0;0;11000.0;306.0;164.0;116.0;796;4.3;Fair
3474;3475;112.0;8.0;USA;6600000.0;37295394.0;7973;59.0;52.0;0;70.0;1000.0;912.0;826.0;5959;5.7;Fair
1861;1862;100.0;5.0;USA;26000000.0;;5006;28.0;56.0;0;737.0;15000.0;980.0;816.0;19068;4.0;Bad
4824;4825;94.0;0.0;Greece;;110197.0;44864;170.0;211.0;13000;252.0;47.0;37.0;14.0;126;7.3;Good
242;243;153.0;0.0;USA;115000000.0;40911830.0;55994;454.0;152.0;0;610.0;12000.0;836.0;617.0;15046;6.0;Fair
2047;2048;88.0;4.0;USA;23600000.0;75590286.0;386217;553.0;445.0;26000;181.0;15000.0;13000.0;11.0;28011;7.7;Good
786;787;126.0;3.0;USA;60000000.0;30695227.0;45296;267.0;125.0;0;0.0;13000.0;10000.0;9000.0;34774;6.7;Good
3270;3271;104.0;3.0;UK;6000000.0;2600000.0;11612;88.0;56.0;0;12.0;21000.0;1000.0;1000.0;23962;7.5;Good
2566;2567;88.0;0.0;USA;16000000.0;14792779.0;24256;91.0;64.0;0;11000.0;854.0;410.0;233.0;1653;7.6;Good
4594;4595;93.0;1.0;USA;500000.0;48430.0;20176;73.0;112.0;0;11.0;443.0;298.0;271.0;1452;6.8;Good
1104;1105;112.0;1.0;USA;45000000.0;38360195.0;21215;116.0;99.0;0;61.0;1000.0;976.0;501.0;3757;6.4;Good
542;543;45.0;1.0;USA;;;29450;67.0;12.0;0;;374.0;130.0;0.0;504;8.3;Excellent
1667;1668;106.0;0.0;USA;30000000.0;32154410.0;148327;274.0;450.0;29000;0.0;17000.0;681.0;273.0;18469;7.1;Good
3019;3020;134.0;0.0;Japan;11900000.0;48856.0;3466;40.0;25.0;355;0.0;15.0;6.0;4.0;30;7.5;Good
3542;3543;111.0;5.0;USA;7000000.0;;39786;162.0;44.0;586;197.0;755.0;632.0;578.0;3009;4.8;Fair
4319;4320;92.0;0.0;Canada;100000.0;;40380;235.0;116.0;0;6.0;253.0;113.0;103.0;762;6.1;Good
748;749;94.0;1.0;USA;60000000.0;60573641.0;68406;162.0;81.0;0;32.0;854.0;628.0;626.0;4530;5.4;Fair
3679;3680;120.0;2.0;USA;6500000.0;27545445.0;59524;418.0;103.0;0;0.0;782.0;652.0;388.0;2892;7.9;Good
497;498;116.0;0.0;USA;80000000.0;19480739.0;53057;457.0;123.0;0;503.0;23000.0;18000.0;982.0;43887;5.6;Fair
3690;3691;94.0;0.0;UK;4000000.0;;13227;70.0;187.0;11000;4.0;796.0;567.0;114.0;1832;6.3;Good
1598;1599;103.0;3.0;USA;26000000.0;105444419.0;31817;117.0;50.0;0;37.0;944.0;893.0;452.0;3143;6.2;Good
2314;2315;100.0;1.0;USA;20000000.0;5005883.0;29649;361.0;167.0;0;143.0;829.0;681.0;430.0;2295;6.1;Good
2098;2099;110.0;2.0;USA;40000000.0;5773519.0;28621;91.0;159.0;11000;118.0;11000.0;1000.0;287.0;12876;6.0;Fair
1456;1457;101.0;1.0;USA;35000000.0;28687835.0;40964;245.0;195.0;0;40.0;2000.0;648.0;398.0;3612;6.2;Good
768;769;101.0;0.0;USA;60000000.0;43060566.0;107859;569.0;138.0;0;38.0;23000.0;18000.0;11000.0;53024;6.2;Good
4330;4331;96.0;6.0;USA;2000000.0;;5732;26.0;33.0;0;68.0;2000.0;811.0;722.0;3683;6.1;Good
171;172;128.0;2.0;UK;135000000.0;126930660.0;157519;683.0;197.0;2000;150.0;766.0;536.0;244.0;2037;6.4;Good
3661;3662;112.0;0.0;UK;3500159.0;32541719.0;89806;438.0;161.0;0;98.0;883.0;528.0;397.0;2201;6.7;Good
173;174;115.0;3.0;USA;120000000.0;292298923.0;185394;329.0;322.0;65000;386.0;21000.0;17000.0;12000.0;59177;5.5;Fair
944;945;125.0;1.0;USA;50000000.0;127997349.0;101178;779.0;321.0;90000;252.0;40000.0;11000.0;10000.0;62837;6.0;Fair
4282;4283;101.0;3.0;USA;2000000.0;1984378.0;27346;206.0;160.0;0;263.0;71.0;51.0;37.0;226;6.5;Good
2126;2127;119.0;0.0;USA;25000000.0;49024969.0;133367;363.0;299.0;0;209.0;1000.0;896.0;521.0;3284;7.3;Good
3663;3664;95.0;6.0;USA;5600000.0;7009668.0;8707;36.0;25.0;244;17.0;592.0;378.0;255.0;2000;2.1;Bad
4393;4394;92.0;3.0;USA;;;2621;18.0;40.0;844;0.0;327.0;51.0;2.0;380;4.7;Fair
3556;3557;108.0;1.0;USA;6500000.0;54215416.0;21409;63.0;18.0;0;7.0;699.0;63.0;51.0;936;6.8;Good
569;570;110.0;1.0;USA;70000000.0;47456450.0;101386;289.0;234.0;0;532.0;3000.0;638.0;461.0;5187;7.1;Good
1067;1068;81.0;1.0;USA;47000000.0;10539414.0;45729;176.0;178.0;0;39.0;13000.0;541.0;364.0;14619;4.7;Fair
2174;2175;118.0;0.0;USA;20000000.0;56398162.0;28649;185.0;64.0;2000;30.0;962.0;593.0;284.0;2390;5.7;Fair
4142;4143;95.0;2.0;USA;;;3443;20.0;34.0;480;7.0;2000.0;536.0;463.0;3648;5.9;Fair
2964;2965;100.0;1.0;USA;12000000.0;12902790.0;4052;88.0;24.0;242;98.0;1000.0;849.0;604.0;3250;6.6;Good
4870;4871;92.0;0.0;USA;;45661.0;7148;32.0;85.0;773;337.0;35.0;32.0;22.0;114;7.3;Good
275;276;84.0;0.0;Germany;133000000.0;140015224.0;94172;179.0;101.0;0;50.0;979.0;886.0;692.0;3382;5.9;Fair
1442;1443;112.0;4.0;USA;35000000.0;39026186.0;48019;153.0;128.0;13000;42.0;969.0;826.0;196.0;2371;5.9;Fair
4276;4277;116.0;2.0;USA;2000000.0;3335839.0;54657;222.0;118.0;0;453.0;24000.0;23000.0;2000.0;50313;7.0;Good
4845;4846;94.0;0.0;USA;;;47;4.0;1.0;4;0.0;156.0;102.0;87.0;544;4.5;Fair
3946;3947;112.0;0.0;Australia;16000000.0;317125.0;23334;87.0;141.0;0;105.0;18000.0;6000.0;748.0;25269;6.2;Good
4344;4345;90.0;2.0;USA;1950000.0;;2032;15.0;23.0;620;58.0;405.0;217.0;164.0;1204;5.2;Fair
2506;2507;112.0;4.0;USA;17000000.0;64998368.0;213898;250.0;223.0;36000;36.0;10000.0;751.0;746.0;12676;7.2;Good
1138;1139;110.0;1.0;USA;40000000.0;67061228.0;96565;135.0;161.0;0;72.0;18000.0;1000.0;789.0;21554;5.5;Fair
4552;4553;95.0;3.0;USA;1000000.0;5997134.0;36381;126.0;337.0;11000;20.0;422.0;374.0;365.0;1899;7.2;Good
4394;4395;90.0;0.0;Israel;1500000.0;155972.0;4702;23.0;51.0;0;21.0;53.0;30.0;27.0;137;7.3;Good
2729;2730;111.0;0.0;USA;15000000.0;1954202.0;5917;71.0;28.0;391;0.0;783.0;664.0;617.0;4834;6.3;Good
4681;4682;106.0;1.0;Italy;750000.0;;17813;101.0;120.0;0;973.0;319.0;90.0;48.0;500;8.1;Excellent
2726;2727;286.0;3.0;USA;;;3828;39.0;9.0;733;;857.0;555.0;527.0;3809;7.9;Good
5032;5033;77.0;0.0;USA;7000.0;424760.0;72639;371.0;143.0;19000;291.0;291.0;45.0;8.0;368;7.0;Good
3343;3344;128.0;2.0;India;12000000.0;4018695.0;69759;235.0;210.0;27000;160.0;8000.0;327.0;81.0;8532;8.0;Good
1694;1695;93.0;0.0;USA;30000000.0;14888028.0;28606;262.0;140.0;0;2.0;849.0;787.0;258.0;2178;5.1;Fair
4247;4248;96.0;2.0;USA;2300000.0;792966.0;4663;40.0;49.0;321;6.0;40.0;30.0;14.0;99;5.1;Fair
2260;2261;84.0;0.0;USA;20000000.0;15712072.0;13210;138.0;77.0;269;2.0;787.0;555.0;472.0;2915;5.8;Fair
1364;1365;97.0;2.0;Italy;38000000.0;;6691;28.0;21.0;366;2.0;4000.0;476.0;217.0;4900;4.8;Fair
4557;4558;93.0;2.0;USA;;5283379.0;31254;79.0;185.0;0;7.0;3000.0;439.0;180.0;3986;6.8;Good
2459;2460;144.0;0.0;Germany;12000000.0;2222647.0;52958;193.0;292.0;0;0.0;63.0;43.0;16.0;167;7.8;Good
3340;3341;101.0;0.0;USA;9000000.0;;13167;57.0;79.0;0;14.0;1000.0;907.0;559.0;3164;5.3;Fair
853;854;114.0;1.0;Germany;55000000.0;78745923.0;94407;322.0;110.0;0;52.0;12000.0;702.0;539.0;13905;6.7;Good
1649;1650;104.0;3.0;USA;30000000.0;40118420.0;26066;216.0;69.0;0;134.0;585.0;495.0;64.0;1165;5.6;Fair
2362;2363;116.0;0.0;USA;19000000.0;210609762.0;732212;809.0;198.0;39000;0.0;1000.0;690.0;459.0;3230;8.5;Excellent
3615;3616;96.0;0.0;Ireland;6000000.0;5359774.0;64794;131.0;261.0;17000;51.0;3000.0;482.0;28.0;3569;7.3;Good
3576;3577;98.0;2.0;UK;10000000.0;449558.0;32307;75.0;145.0;0;0.0;1000.0;54.0;27.0;1163;7.6;Good
3642;3643;152.0;0.0;USA;;23807.0;2143;29.0;47.0;570;194.0;103.0;2.0;0.0;105;8.3;Excellent
2948;2949;102.0;10.0;USA;12000000.0;25277561.0;21672;93.0;161.0;0;0.0;3000.0;966.0;555.0;5592;6.5;Good
4997;4998;90.0;5.0;USA;40000.0;277233.0;2631;26.0;21.0;0;4.0;20000.0;467.0;113.0;20814;7.6;Good
3465;3466;175.0;1.0;USA;6000000.0;134821952.0;1155770;2238.0;208.0;43000;0.0;14000.0;10000.0;3000.0;28122;9.2;Excellent
5011;5012;109.0;3.0;USA;35000000.0;10499968.0;47502;212.0;233.0;10000;453.0;1000.0;206.0;120.0;1458;5.7;Fair
951;952;128.0;0.0;USA;;75888270.0;71153;560.0;196.0;0;62.0;6000.0;989.0;874.0;10163;5.4;Fair
4119;4120;98.0;0.0;Germany;2700000.0;95016.0;11074;56.0;40.0;442;7.0;289.0;38.0;17.0;362;7.4;Good
800;801;130.0;3.0;USA;60000000.0;31165421.0;107028;457.0;212.0;44000;91.0;5000.0;2000.0;1000.0;10247;6.0;Fair
3182;3183;78.0;0.0;USA;10000000.0;;1040;31.0;19.0;425;13.0;753.0;695.0;378.0;2791;4.2;Fair
731;732;125.0;1.0;USA;60000000.0;75764085.0;85844;322.0;121.0;0;420.0;12000.0;3000.0;627.0;16646;6.7;Good
2922;2923;116.0;2.0;USA;11000000.0;78900000.0;91414;359.0;148.0;0;120.0;12000.0;980.0;664.0;16539;7.7;Good
2273;2274;96.0;0.0;USA;20000000.0;13630226.0;112516;223.0;150.0;0;83.0;26000.0;968.0;926.0;30541;6.2;Good
4725;4726;79.0;1.0;USA;500000.0;30500882.0;42256;916.0;235.0;0;9.0;48.0;10.0;7.0;67;5.7;Fair
6;7;100.0;1.0;USA;260000000.0;200807262.0;294810;387.0;324.0;29000;15.0;799.0;553.0;284.0;2036;7.8;Good
3606;3607;121.0;1.0;UK;6000000.0;17605861.0;145580;351.0;252.0;0;162.0;1000.0;149.0;25.0;1184;7.7;Good
1987;1988;88.0;1.0;USA;17000000.0;9286314.0;4972;62.0;27.0;0;22.0;174.0;132.0;120.0;583;5.9;Fair
2472;2473;89.0;1.0;Netherlands;17900000.0;;30215;95.0;59.0;0;130.0;444.0;312.0;183.0;1243;5.0;Fair
447;448;87.0;0.0;USA;75000000.0;133103929.0;22838;56.0;91.0;0;31.0;1000.0;1000.0;733.0;4073;4.4;Fair
1177;1178;101.0;0.0;France;;;590;5.0;9.0;161;326.0;326.0;152.0;6.0;488;4.9;Fair
830;831;96.0;1.0;USA;57000000.0;51774002.0;87745;331.0;287.0;18000;83.0;12000.0;1000.0;1000.0;16121;4.3;Fair
2844;2845;97.0;6.0;USA;16000000.0;38176108.0;222099;549.0;133.0;10000;19.0;23000.0;13000.0;835.0;37907;7.2;Good
4669;4670;93.0;4.0;USA;600000.0;35688.0;4167;72.0;6.0;0;247.0;247.0;217.0;152.0;954;5.1;Fair
411;412;83.0;1.0;USA;85000000.0;84303558.0;65270;100.0;107.0;863;28.0;4000.0;650.0;624.0;6081;6.2;Good
118;119;111.0;0.0;USA;150000000.0;206435493.0;473887;626.0;318.0;10000;663.0;1000.0;1000.0;954.0;4764;8.0;Good
1445;1446;102.0;1.0;USA;;;16323;91.0;40.0;0;23.0;288.0;257.0;57.0;677;7.3;Good
4346;4347;97.0;1.0;UK;;466702.0;65877;100.0;249.0;17000;0.0;920.0;680.0;594.0;3275;7.3;Good
4919;4920;94.0;1.0;USA;200000.0;;15;3.0;3.0;66;0.0;433.0;375.0;178.0;1112;8.1;Excellent
3532;3533;118.0;2.0;USA;7000000.0;46451.0;7663;38.0;27.0;694;0.0;26000.0;854.0;410.0;27756;6.0;Fair
4887;4888;92.0;0.0;UK;;104792.0;84817;145.0;225.0;22000;0.0;27000.0;161.0;146.0;27507;7.1;Good
4538;4539;86.0;0.0;UK;1000000.0;14564027.0;76407;335.0;203.0;0;385.0;266.0;209.0;100.0;673;7.0;Good
906;907;118.0;0.0;USA;50000000.0;73343413.0;217480;429.0;216.0;21000;473.0;18000.0;1000.0;963.0;22517;7.4;Good
2716;2717;92.0;1.0;USA;15000000.0;5306447.0;58967;169.0;218.0;10000;11000.0;860.0;658.0;386.0;2717;7.2;Good
3080;3081;97.0;0.0;USA;10000000.0;11043445.0;27689;74.0;81.0;1000;21.0;17000.0;1000.0;499.0;20312;6.5;Good
4036;4037;97.0;5.0;USA;3300000.0;;557;3.0;1.0;0;246.0;756.0;521.0;491.0;3717;4.5;Fair
3702;3703;88.0;0.0;USA;4500000.0;44793200.0;49820;311.0;131.0;0;55.0;506.0;449.0;150.0;1584;6.6;Good
829;830;97.0;2.0;USA;58000000.0;28328132.0;38298;147.0;117.0;782;420.0;4000.0;3000.0;455.0;9814;6.3;Good
135;136;119.0;0.0;USA;150000000.0;61937495.0;89442;432.0;357.0;0;394.0;12000.0;490.0;162.0;13071;5.8;Fair
656;657;104.0;0.0;USA;60000000.0;139225854.0;34561;116.0;80.0;1000;54.0;901.0;857.0;775.0;5265;5.5;Fair
657;658;158.0;1.0;USA;61000000.0;148775460.0;243834;845.0;488.0;144000;0.0;20000.0;13000.0;11000.0;46204;7.6;Good
2265;2266;225.0;6.0;USA;20000000.0;8000000.0;6484;100.0;27.0;1000;126.0;940.0;208.0;202.0;1934;6.6;Good
701;702;116.0;0.0;France;62000000.0;77086030.0;65297;602.0;178.0;0;84.0;11000.0;919.0;563.0;14931;6.6;Good
2648;2649;94.0;5.0;USA;15000000.0;30259652.0;26905;614.0;151.0;0;28.0;2000.0;864.0;731.0;5440;4.1;Fair
1830;1831;135.0;1.0;France;27000000.0;;926;19.0;38.0;359;0.0;5.0;4.0;3.0;24;6.6;Good
3853;3854;133.0;1.0;USA;4500000.0;727883.0;580999;2110.0;283.0;33000;219.0;15000.0;933.0;701.0;17040;8.1;Excellent
2823;2824;55.0;0.0;Poland;;447093.0;12590;37.0;53.0;0;;20.0;3.0;2.0;25;9.1;Excellent
1108;1109;94.0;1.0;USA;25000000.0;32003620.0;79141;355.0;127.0;2000;160.0;550.0;216.0;167.0;1102;6.5;Good
2058;2059;106.0;3.0;UK;23000000.0;15785632.0;32513;119.0;216.0;15000;452.0;20000.0;732.0;141.0;21195;7.5;Good
4408;4409;90.0;5.0;USA;17000000.0;;246;1.0;2.0;0;134.0;260000.0;454.0;354.0;261818;9.1;Excellent
412;413;139.0;2.0;USA;85000000.0;150832203.0;341058;713.0;459.0;49000;168.0;14000.0;5000.0;1000.0;22226;6.7;Good
733;734;156.0;5.0;USA;55000000.0;75530832.0;97047;452.0;171.0;0;0.0;14000.0;2000.0;1000.0;20761;6.8;Good
362;363;121.0;3.0;USA;92000000.0;110416702.0;307539;577.0;308.0;0;0.0;21000.0;1000.0;918.0;23484;7.0;Good
1506;1507;148.0;0.0;Mexico;;5100937.0;68885;127.0;288.0;29000;0.0;30.0;9.0;7.0;50;7.5;Good
3644;3645;76.0;1.0;USA;8600000.0;;2989;38.0;19.0;176;17.0;636.0;472.0;259.0;2152;5.8;Fair
2221;2222;111.0;0.0;UK;20000000.0;30028592.0;152247;189.0;222.0;0;79.0;26000.0;811.0;287.0;27755;7.3;Good
3054;3055;118.0;0.0;USA;11000000.0;10214647.0;42689;204.0;188.0;0;386.0;14000.0;1000.0;812.0;17490;7.1;Good
4617;4618;89.0;0.0;USA;500000.0;;3650;39.0;64.0;0;23.0;199.0;37.0;23.0;292;5.1;Fair
1755;1756;130.0;4.0;USA;28000000.0;70235322.0;182983;374.0;426.0;99000;285.0;33000.0;23000.0;767.0;57308;7.8;Good
263;264;120.0;3.0;USA;110000000.0;66002193.0;44296;144.0;181.0;12000;124.0;6000.0;5000.0;943.0;12452;5.8;Fair
2970;2971;137.0;0.0;USA;107000000.0;22406362.0;16832;267.0;106.0;701;102.0;2000.0;973.0;877.0;5780;6.0;Fair
3822;3823;93.0;0.0;USA;4800000.0;47277326.0;138814;1516.0;303.0;0;0.0;1000.0;1000.0;581.0;2990;5.9;Fair
2200;2201;105.0;1.0;USA;20000000.0;35596227.0;79461;463.0;333.0;10000;210.0;978.0;191.0;101.0;1454;6.3;Good
4088;4089;96.0;0.0;UK;1900000.0;4170647.0;14548;161.0;82.0;1000;70.0;883.0;183.0;163.0;1616;6.9;Good
293;294;116.0;2.0;USA;100000000.0;119219978.0;189806;316.0;265.0;16000;285.0;12000.0;8000.0;107.0;20233;6.7;Good
1414;1415;162.0;0.0;USA;27000000.0;78651430.0;142067;457.0;116.0;0;333.0;14000.0;1000.0;362.0;15912;7.4;Good
4956;4957;89.0;1.0;USA;20000.0;;69831;535.0;152.0;0;0.0;195.0;158.0;121.0;837;7.4;Good
3522;3523;97.0;0.0;USA;7000000.0;1768416.0;35848;198.0;301.0;0;0.0;227.0;218.0;106.0;684;6.3;Good
3720;3721;94.0;0.0;USA;5000000.0;19281235.0;3571;11.0;12.0;232;0.0;901.0;413.0;287.0;2523;5.1;Fair
4190;4191;99.0;0.0;Canada;3200000.0;;1003;5.0;9.0;39;0.0;50.0;16.0;6.0;79;6.6;Good
